n,duration,mflops,result
12000,0.065621,3657365.782295,143988000.000000
12100,0.066804,3622537.572600,146397900.000000
12200,0.068198,3577817.531306,148827800.000000
12300,0.069037,3563306.632675,151277700.000000
12400,0.070071,3539267.314581,153747600.000000
12500,0.071243,3509116.685148,156237500.000000
12600,0.072401,3480614.908634,158747400.000000
12700,0.073574,3452306.521325,161277300.000000
12800,0.075001,3413287.822829,163827200.000000
12900,0.077955,3309601.693285,166397100.000000
13000,0.080032,3248700.519792,168987000.000000
13100,0.080329,3261586.724595,171596900.000000
13200,0.081075,3256244.218316,174226800.000000
13300,0.082150,3237979.306147,176876700.000000
13400,0.082671,3241765.552612,179546600.000000
13500,0.084048,3212450.028555,182236500.000000
13600,0.087031,3125323.160713,184946400.000000
13700,0.087171,3143247.180828,187676300.000000
13800,0.088064,3134084.302326,190426200.000000
13900,0.089318,3112474.529210,193196100.000000
14000,0.090836,3082478.312563,195986000.000000
14100,0.091791,3072196.620584,198795900.000000
14200,0.093514,3036978.420343,201625800.000000
14300,0.094669,3021052.298007,204475700.000000
14400,0.095556,3013939.470049,207345600.000000
14500,0.097546,2972956.348800,210235500.000000
14600,0.098863,2953582.229955,213145400.000000
14700,0.100387,2928666.062339,216075300.000000
14800,0.100870,2934470.110043,219025200.000000
14900,0.102364,2911179.711617,221995100.000000
15000,0.104387,2873921.082127,224985000.000000
15100,0.107322,2813961.722666,227994900.000000
15200,0.109263,2782277.623715,231024800.000000
15300,0.109203,2802120.820857,234074700.000000
15400,0.111743,2756324.780971,237144600.000000
15500,0.113621,2728368.875472,240234500.000000
15600,0.114760,2718717.323109,243344400.000000
15700,0.116828,2687711.849899,246474300.000000
15800,0.116985,2701201.008676,249624200.000000
15900,0.119790,2654645.629852,252794100.000000
16000,0.121104,2642356.982428,255984000.000000
16100,0.121487,2650489.352770,259193900.000000
16200,0.121301,2671041.458850,262423800.000000
16300,0.127347,2559934.666698,265673700.000000
16400,0.125096,2621986.314510,268943600.000000
16500,0.126951,2599428.125812,272233500.000000
16600,0.128719,2579261.802842,275543400.000000
16700,0.130509,2559210.475906,278873300.000000
16800,0.131579,2553598.978560,282223200.000000
16900,0.134783,2507734.654964,285593100.000000
17000,0.136084,2498456.835484,288983000.000000
17100,0.137921,2479680.396749,292392900.000000
17200,0.139101,2473023.198971,295822800.000000
17300,0.138823,2492382.386204,299272700.000000
17400,0.139446,2495589.690633,302742600.000000
17500,0.143326,2441985.403904,306232500.000000
17600,0.145229,2423758.340276,309742400.000000
17700,0.144705,2446356.380222,313272300.000000
17800,0.146581,2428691.303784,316822200.000000
17900,0.148937,2403700.893666,320392100.000000
18000,0.149924,2401216.616419,323982000.000000
18100,0.154097,2349169.678839,327591900.000000
18200,0.157774,2307097.493884,331221800.000000
18300,0.156169,2343614.929980,334871700.000000
18400,0.156736,2347897.100857,338541600.000000
18500,0.158393,2335961.816494,342231500.000000
18600,0.158595,2345597.276081,345941400.000000
18700,0.160007,2337397.738849,349671300.000000
18800,0.161678,2325610.163411,353421200.000000
18900,0.163252,2315438.708255,357191100.000000
19000,0.164797,2305867.218457,360981000.000000
19100,0.166240,2297882.579403,364790900.000000
19200,0.167479,2292824.772061,368620800.000000
19300,0.169195,2281391.294069,372470700.000000
19400,0.171848,2257809.226759,376340600.000000
19500,0.174166,2239243.021026,380230500.000000
19600,0.174374,2248041.565830,384140400.000000
19700,0.176238,2235613.204871,388070300.000000
19800,0.178162,2222696.197842,392020200.000000
19900,0.179858,2212856.809261,395990100.000000
20000,0.181587,2202800.861295,399980000.000000
20100,0.183553,2190103.130976,403989900.000000
20200,0.185426,2178766.731742,408019800.000000
20300,0.187078,2170217.770128,412069700.000000
20400,0.189761,2150072.986546,416139600.000000
20500,0.190707,2149894.864897,420229500.000000
20600,0.192855,2136320.033186,424339400.000000
20700,0.194557,2127911.100603,428469300.000000
20800,0.196469,2117382.386025,432619200.000000
20900,0.198472,2106090.531662,436789100.000000
21000,0.200313,2096718.635336,440979000.000000
21100,0.202363,2085361.454416,445188900.000000
21200,0.203873,2079726.103996,449418800.000000
21300,0.205944,2068523.482112,453668700.000000
21400,0.207785,2059821.450057,457938600.000000
21500,0.211128,2036679.170929,462228500.000000
21600,0.219122,1971504.458703,466538400.000000
21700,0.221696,1957635.681293,470868300.000000
21800,0.218839,1992332.262531,475218200.000000
21900,0.223216,1962224.930113,479588100.000000
22000,0.222704,1975716.646311,483978000.000000
22100,0.227453,1943258.607273,488387900.000000
22200,0.231527,1917702.902901,492817800.000000
22300,0.227921,1956818.371278,497267700.000000
22400,0.232256,1928906.034720,501737600.000000
22500,0.234500,1918976.545842,506227500.000000
22600,0.234255,1929521.248212,510737400.000000
22700,0.244323,1858195.912788,515267300.000000
22800,0.244361,1866091.561256,519817200.000000
22900,0.246451,1858381.584980,524387100.000000
23000,0.247349,1859720.475927,528977000.000000
23100,0.248813,1856816.163143,533586900.000000
23200,0.248138,1869927.217919,538216800.000000
23300,0.250096,1863284.498752,542866700.000000
23400,0.253455,1846481.623957,547536600.000000
23500,0.254000,1850393.700787,552226500.000000
23600,0.261783,1803020.058598,556936400.000000
23700,0.265641,1784363.106599,561666300.000000
23800,0.262446,1813706.438658,566416200.000000
23900,0.260996,1831445.692654,571186100.000000
24000,0.267229,1796212.237444,575976000.000000
24100,0.270834,1779687.926922,580785900.000000
24200,0.273389,1770371.156118,585615800.000000
24300,0.269612,1802590.389152,590465700.000000
24400,0.274754,1776134.287399,595335600.000000
24500,0.285828,1714317.701555,600225500.000000
24600,0.282410,1742147.940937,605135400.000000
24700,0.282519,1748554.964445,610065300.000000
24800,0.290932,1704865.741823,615015200.000000
24900,0.293146,1698812.195971,619985100.000000
25000,0.288913,1730624.790162,624975000.000000
25100,0.293326,1711406.421524,629984900.000000
25200,0.289213,1742660.253861,635014800.000000
25300,0.290698,1740638.050485,640064700.000000
25400,0.292613,1736081.445459,645134600.000000
25500,0.295083,1728327.284188,650224500.000000
25600,0.297515,1720921.634203,655334400.000000
25700,0.299498,1716205.116562,660464300.000000
25800,0.303899,1697932.536797,665614200.000000
25900,0.304533,1700965.084244,670784100.000000
26000,0.306710,1695412.604741,675974000.000000
26100,0.309373,1687283.634965,681183900.000000
26200,0.311741,1680882.527483,686413800.000000
26300,0.314252,1673815.918435,691663700.000000
26400,0.316333,1669127.153980,696933600.000000
26500,0.318464,1664238.344051,702223500.000000
26600,0.321051,1657057.601440,707533400.000000
26700,0.323594,1650216.011422,712863300.000000
26800,0.326020,1644070.915895,718213200.000000
26900,0.328529,1637602.768705,723583100.000000
27000,0.330976,1631538.238422,728973000.000000
27100,0.333175,1626772.717041,734382900.000000
27200,0.335872,1619664.634146,739812800.000000
27300,0.338154,1614648.946930,745262700.000000
27400,0.341610,1604168.496238,750732600.000000
27500,0.343142,1602834.977939,756222500.000000
27600,0.345425,1598031.410581,761732400.000000
27700,0.348285,1590651.334396,767262300.000000
27800,0.351608,1581306.454916,772812200.000000
27900,0.353280,1579483.695652,778382100.000000
28000,0.355641,1574621.598747,783972000.000000
28100,0.358897,1565908.881935,789581900.000000
28200,0.360584,1564129.301356,795211800.000000
28300,0.363391,1557550.957509,800861700.000000
28400,0.365592,1553644.499880,806531600.000000
28500,0.369999,1540544.704175,812221500.000000
28600,0.371932,1537915.532947,817931400.000000
28700,0.373736,1535843.483100,823661300.000000
28800,0.376804,1528646.192716,829411200.000000
28900,0.378944,1525291.335923,835181100.000000
29000,0.383439,1512626.519472,840971000.000000
29100,0.384301,1514437.901541,846780900.000000
29200,0.386667,1510343.525566,852610800.000000
29300,0.390579,1500336.679647,858460700.000000
29400,0.391971,1500110.977598,864330600.000000
29500,0.395179,1492994.313969,870220500.000000
29600,0.397426,1489585.482580,876130400.000000
29700,0.402042,1477457.579059,882060300.000000
29800,0.402948,1479099.040075,888010200.000000
29900,0.405604,1474344.434473,893980100.000000
