n,duration,mflops,result
63000,1.813244,694887.174589,3968937000.000000
63100,1.827202,690673.499701,3981546900.000000
63200,1.895929,666691.632440,3994176800.000000
63300,1.937475,653427.786165,4006826700.000000
63400,1.894397,669342.276197,4019496600.000000
63500,1.838895,690632.145935,4032186500.000000
63600,1.923507,661292.108633,4044896400.000000
63700,1.934506,658566.062860,4057626300.000000
63800,1.907142,669063.971115,4070376200.000000
63900,1.955981,653380.579873,4083146100.000000
64000,1.974225,648355.683876,4095936000.000000
64100,1.898541,675255.367148,4108745900.000000
64200,1.968796,652175.238064,4121575800.000000
64300,1.922006,669092.604289,4134425700.000000
64400,1.941729,663326.344716,4147295600.000000
64500,2.031367,635040.344753,4160185500.000000
64600,1.997609,646773.217381,4173095400.000000
64700,2.012941,642840.500541,4186025300.000000
64800,1.982917,653582.575569,4198975200.000000
64900,1.957181,663198.753718,4211945100.000000
65000,1.965263,661489.072964,4224935000.000000
65100,1.939499,671307.384020,4237944900.000000
65200,2.016968,646514.967020,4250974800.000000
65300,1.996646,654096.920536,4264024700.000000
65400,2.061089,634615.972430,4277094600.000000
65500,2.032023,644677.742329,4290184500.000000
65600,2.048907,640341.411299,4303294400.000000
65700,1.998460,657506.279835,4316424300.000000
65800,2.002464,657190.341499,4329574200.000000
65900,1.969964,669047.759248,4342744100.000000
66000,1.971067,669688.042060,4355934000.000000
66100,1.976756,668772.473689,4369143900.000000
66200,1.983872,667381.766566,4382373800.000000
66300,2.001589,662473.664673,4395623700.000000
66400,1.999279,664239.458325,4408893600.000000
66500,2.096980,634245.438678,4422183500.000000
66600,2.150990,619249.740817,4435493400.000000
66700,2.115414,630609.422080,4448823300.000000
66800,2.119653,630291.844939,4462173200.000000
66900,2.073016,645436.407630,4475543100.000000
67000,2.111406,634648.191774,4488933000.000000
67100,2.147278,624977.296838,4502342900.000000
67200,2.192109,613108.198543,4515772800.000000
67300,2.145088,627480.084733,4529222700.000000
67400,2.105056,640363.011720,4542692600.000000
67500,2.157855,625621.276684,4556182500.000000
67600,2.164981,624485.849991,4569692400.000000
67700,2.143755,631602.025418,4583222300.000000
67800,2.168621,625282.149347,4596772200.000000
67900,2.158511,629137.400736,4610342100.000000
68000,2.173031,625853.933975,4623932000.000000
68100,2.228436,611190.987760,4637541900.000000
68200,2.237102,609717.393306,4651171800.000000
68300,2.249116,607349.732073,4664821700.000000
68400,2.268033,603165.826952,4678491600.000000
68500,2.316566,591392.604398,4692181500.000000
68600,2.326171,589810.465353,4705891400.000000
68700,2.249977,610672.909101,4719621300.000000
68800,2.252528,610869.210061,4733371200.000000
68900,2.237481,615871.151532,4747141100.000000
69000,2.272592,607236.142695,4760931000.000000
69100,2.326880,593928.350409,4774740900.000000
69200,2.511830,550992.702532,4788570800.000000
69300,2.409829,575144.543451,4802420700.000000
69400,2.436242,569729.936517,4816290600.000000
69500,2.488537,558561.114422,4830180500.000000
69600,2.470460,563457.817572,4844090400.000000
69700,2.288102,609238.574154,4858020300.000000
69800,2.420629,576709.607296,4871970200.000000
69900,2.315254,603821.438166,4885940100.000000
70000,2.379263,588417.505757,4899930000.000000
70100,2.333973,600692.467308,4913939900.000000
70200,2.369070,592637.617293,4927969800.000000
70300,2.319459,606175.836693,4942019700.000000
70400,2.419858,581852.323566,4956089600.000000
70500,2.312841,609639.832570,4970179500.000000
70600,2.320129,608586.850128,4984289400.000000
70700,2.319022,609739.795483,4998419300.000000
70800,2.318922,610628.559305,5012569200.000000
70900,2.333763,607602.400072,5026739100.000000
71000,2.358447,602091.121827,5040929000.000000
71100,2.371623,599589.395110,5055138900.000000
71200,2.338950,608820.197097,5069368800.000000
71300,2.346817,607631.528151,5083618700.000000
71400,2.372930,601787.663353,5097888600.000000
71500,2.340498,610981.081804,5112178500.000000
71600,2.404801,595475.467617,5126488400.000000
71700,2.413177,594237.389135,5140818300.000000
71800,2.410730,595670.191187,5155168200.000000
71900,2.408798,596978.243921,5169538100.000000
72000,2.426742,593388.172290,5183928000.000000
72100,2.430941,593185.930880,5198337900.000000
72200,2.435565,592880.912642,5212767800.000000
72300,2.451122,589933.915978,5227217700.000000
72400,2.440503,593320.311428,5241687600.000000
72500,2.453387,591019.680140,5256177500.000000
72600,2.457995,590725.367627,5270687400.000000
72700,2.466332,589539.445622,5285217300.000000
72800,2.469826,589515.212813,5299767200.000000
72900,2.458234,593108.711376,5314337100.000000
73000,2.501486,583653.076611,5328927000.000000
73100,2.492169,586637.583567,5343536900.000000
73200,2.492723,587309.540611,5358166800.000000
73300,2.493435,587943.940789,5372816700.000000
73400,2.517615,583091.537030,5387486600.000000
73500,2.522526,582749.196639,5402176500.000000
73600,2.483758,592650.330668,5416886400.000000
73700,2.478778,594647.846641,5431616300.000000
73800,2.544358,580107.044685,5446366200.000000
73900,2.509306,589007.478562,5461136100.000000
74000,2.483100,596029.157102,5475926000.000000
74100,2.515967,589037.932533,5490735900.000000
74200,2.495186,594745.241437,5505565800.000000
74300,2.529167,587545.227342,5520415700.000000
74400,2.512046,592345.840801,5535285600.000000
74500,2.560396,581941.230966,5550175500.000000
74600,2.566038,581441.116616,5565085400.000000
74700,2.586468,577621.683315,5580015300.000000
74800,2.564661,583312.960270,5594965200.000000
74900,2.584518,579605.172028,5609935100.000000
75000,2.618523,572842.018191,5624925000.000000
75100,2.607203,576096.299368,5639934900.000000
75200,2.636626,570425.991400,5654964800.000000
75300,2.636768,571153.776138,5670014700.000000
75400,2.606743,578499.683321,5685084600.000000
75500,2.619427,576461.951412,5700174500.000000
75600,2.626163,575744.917585,5715284400.000000
75700,2.638967,573709.333993,5730414300.000000
75800,2.679763,565721.670163,5745564200.000000
75900,2.669067,568738.064650,5760734100.000000
76000,2.690488,564953.272417,5775924000.000000
76100,2.669509,570142.299576,5791133900.000000
76200,2.679420,568779.810556,5806363800.000000
76300,2.692063,566851.518705,5821613700.000000
76400,2.697050,566544.928718,5836883600.000000
76500,2.710728,564424.021886,5852173500.000000
76600,2.721334,562959.195747,5867483400.000000
76700,2.750875,557640.750670,5882813300.000000
76800,2.718146,565091.058391,5898163200.000000
76900,2.710253,567474.697012,5913533100.000000
77000,2.755264,558930.106153,5928923000.000000
77100,2.785391,553602.707842,5944332900.000000
77200,2.795756,552265.648361,5959762800.000000
77300,2.852914,541902.069253,5975212700.000000
77400,2.785241,555786.734433,5990682600.000000
77500,2.823517,548960.746473,6006172500.000000
77600,2.846013,545324.283480,6021682400.000000
77700,2.870754,541321.199936,6037212300.000000
77800,2.824156,550961.065890,6052762200.000000
77900,2.838035,548971.383369,6068332100.000000
78000,2.835998,550070.909782,6083922000.000000
78100,2.873008,543681.047877,6099531900.000000
78200,2.911970,537093.445331,6115161800.000000
78300,2.894956,540940.864041,6130811700.000000
78400,2.940008,533331.882090,6146481600.000000
78500,2.859065,549130.572407,6162171500.000000
78600,2.877504,546306.799226,6177881400.000000
78700,2.890514,544539.829248,6193611300.000000
78800,2.915202,540614.338217,6209361200.000000
78900,2.883469,547257.487422,6225131100.000000
79000,2.889871,546737.207301,6240921000.000000
79100,2.923792,541078.161511,6256730900.000000
79200,2.920699,542335.927119,6272560800.000000
79300,2.942962,538912.836795,6288410700.000000
79400,2.986717,531687.468213,6304280600.000000
79500,2.959295,537290.131602,6320170500.000000
79600,2.946543,540294.168454,6336080400.000000
79700,2.952226,539931.563505,6352010300.000000
79800,2.957477,539649.167179,6367960200.000000
79900,2.970657,537928.141822,6383930100.000000
80000,3.057892,523236.268645,6399920000.000000
80100,3.012467,531790.057783,6415929900.000000
80200,2.959647,541956.523869,6431959800.000000
80300,3.038344,528577.409273,6448009700.000000
80400,3.003106,535445.635286,6464079600.000000
80500,3.062690,525681.671994,6480169500.000000
80600,3.054561,527735.409442,6496279400.000000
80700,3.002209,537604.144149,6512409300.000000
80800,3.008872,537078.346969,6528559200.000000
80900,3.092636,523178.285450,6544729100.000000
81000,3.061501,529152.203445,6560919000.000000
81100,3.024897,536216.605061,6577128900.000000
81200,3.022234,537350.847089,6593358800.000000
81300,3.076854,528461.863969,6609608700.000000
81400,3.032340,536879.109862,6625878600.000000
81500,3.080362,529158.585906,6642168500.000000
81600,3.094981,527305.337254,6658478400.000000
81700,3.075854,531234.577454,6674808300.000000
81800,3.074412,532134.274782,6691158200.000000
81900,3.074767,532723.292529,6707528100.000000
82000,3.159053,519142.920363,6723918000.000000
82100,3.198408,513380.406752,6740327900.000000
82200,3.196958,514238.848305,6756757800.000000
82300,3.213947,512142.857365,6773207700.000000
82400,3.156601,522080.554368,6789677600.000000
82500,3.164906,521342.498008,6806167500.000000
82600,3.221162,512858.403272,6822677400.000000
82700,3.228503,512311.743244,6839207300.000000
82800,3.214465,515171.264892,6855757200.000000
82900,3.207006,516993.108214,6872327100.000000
83000,3.207947,517464.908242,6888917000.000000
83100,3.282481,506324.332113,6905526900.000000
83200,3.256136,511035.165607,6922156800.000000
83300,3.246426,513179.724411,6938806700.000000
83400,3.269759,510129.339808,6955476600.000000
83500,3.289887,507616.219037,6972166500.000000
83600,3.277189,510193.339475,6988876400.000000
83700,3.313047,505275.053448,7005606300.000000
83800,3.294967,508654.563156,7022356200.000000
83900,3.334961,503154.309751,7039126100.000000
84000,3.353071,501033.231924,7055916000.000000
84100,3.375656,498273.520762,7072725900.000000
84200,3.389940,496763.954524,7089555800.000000
84300,3.359927,501796.616415,7106405700.000000
84400,3.344902,504648.566684,7123275600.000000
84500,3.367678,501829.450440,7140165500.000000
84600,3.378133,500868.379072,7157075400.000000
84700,3.399806,498263.724460,7174005300.000000
84800,3.376021,502366.543336,7190955200.000000
84900,3.444768,492921.439122,7207925100.000000
85000,3.395175,500710.567202,7224915000.000000
85100,3.391689,501814.877484,7241924900.000000
85200,3.440273,495309.529215,7258954800.000000
85300,3.429462,497454.119626,7276004700.000000
85400,3.437454,496879.376422,7293074600.000000
85500,3.434684,497862.394328,7310164500.000000
85600,3.504724,488483.543925,7327274400.000000
85700,3.507734,488634.542984,7344404300.000000
85800,3.502145,489985.423219,7361554200.000000
85900,3.468590,495302.125648,7378724100.000000
86000,3.469760,495711.518952,7395914000.000000
86100,3.492318,493082.245088,7413123900.000000
86200,3.525289,489037.920012,7430353800.000000
86300,3.519720,490379.916584,7447603700.000000
86400,3.545399,487392.251197,7464873600.000000
86500,3.567969,484869.683565,7482163500.000000
86600,3.553394,487421.321700,7499473400.000000
86700,3.570081,485703.265556,7516803300.000000
86800,3.609474,480956.505020,7534153200.000000
86900,3.513685,494637.396352,7551523100.000000
87000,3.529836,492940.748522,7568913000.000000
87100,3.546420,491199.575910,7586322900.000000
87200,3.566809,488952.450215,7603752800.000000
